name,area,employer,salary_from,salary_to,currency,description,specialization,profarea,schedule,experience
Бухгалтер,Бишкек,5 avenue,75000,,KGS,"<p><strong>Требования:</strong></p> <ul> <li>Опыт работы на аналогичной позиции – от 1 года;</li> <li>Опыт ведения коммерческой базы предприятия;</li> <li>Активная жизненная позиция‚ грамотная речь‚ коммуникабельность;</li> <li>Высокая самоорганизация, лидерские качества, аналитический склад ума;</li> <li>Уверенное пользование 1С</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Самостоятельное ведение бухгалтерского, налогового учета в полном объеме в соответствии с требованиями законодательства КР;</li> <li>Формирование и сдача бухгалтерской, налоговой, статистической отчетности;</li> <li>Проверка и подписание всей первичной документации (кассовые документы. авансовые отчеты, инвентаризации, доверенности и тд);</li> <li>Формирование прихода ТМЦ в базу 1С, перемещение по складам;</li> <li>Ведение учета движения ТМЦ по документам поступления, отгрузки, перемещения в программе 1С;</li> <li>Ценообразование товаров;</li> <li>Учет и контроль дебиторской и кредиторской задолженности;</li> <li>Ведение кассовых и банковских операций, проверка авансовых отчетов, ведение учета материальных ценностей;</li> <li>Контроль за основными и иными материальными ценностями организации;</li> <li>Контроль и участие в процессе инвентаризации материального имущества; выявление итогов инвентаризации и анализ недостачи;</li> <li>Анализ финансово-хозяйственной деятельности предприятия;</li> <li>Учет труда и начисление заработной платы сотрудникам, своевременное отражение всех операций в бухгалтерском учете;</li> <li>Формирование финансовой отчетности;</li> <li>Выполнение актов -сверок с контрагентами</li> <li>Интернет-банкинг и взаимодействие с банками;</li> <li>Ведение кадровой документации;</li> <li>Выполнение отдельных поручений руководителя;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное трудоустройство по ТК;</li> <li>Местонахождение офиса - центр города</li> </ul> <p> </p>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 3 до 6 лет
"Мерчендайзер, г.Бишкек",Бишкек,Дарк Хорс Интернешнл,,22500,KGS,"<p><strong>Что мы предлагаем:</strong></p> <ul> <li>Официальное трудоустройство;</li> <li>Стабильная зарплата</li> <li>Обучение и персональный наставник;</li> <li>Фирменная спецодежда;</li> <li>Оплачиваемые отпуска, больничные и возложения обязанностей;</li> <li>График работы 5/2, с 09:00 до 18:00, суббота, воскресенье – выходные дни;</li> </ul> <p><strong>Что нужно делать</strong>:</p> <ul> <li>Выкладывать продукцию, согласно планограмме;</li> <li>Делать фотоотчёт, устанавливать ценники.</li> <li>Выполнять план продаж.</li> </ul> <p><strong>Чтобы устроиться на работу понадобятся:</strong></p> <ul> <li>Санитарная книжка</li> <li>приписное удостоверение или военный билет (для военнообязанных),</li> <li>диплом или аттестат,</li> <li>карт-счёт</li> </ul>",Розничная торговля,Продажи,Полный день,Нет опыта
Продавец-консультант,Бишкек,Суеркулова Кулжакий,25000,300000,KGS,"<strong>Обязанности:</strong> <ul> <li>Офисная деятельность в сфере торговли</li> <li>Консультация клиентам и отвечать на тел.звонки</li> </ul><br /><strong>Требования:</strong> <ul> <li>Ответственность ,пунктуальность</li> <li>Мобильность,</li> </ul><br /><strong>Условия:</strong> <ul> <li>Гибкий график ,свободный 5/2</li> <li>Работа в команде</li> </ul>",Розничная торговля,Продажи,Гибкий график,Нет опыта
Продавец-консультант,Бишкек,Молдоканова Н. Ж,30000,50000,KGS,"<p><strong>Обязанности:</strong></p> <ul> <li>Свободное владение русским, кыргызским языками;</li> <li>Уверенный пользователь ПК;</li> <li>Желательно фармацевтическое образование, но не критично.</li> </ul> <strong>Требования:</strong> <ul> <li>обеспечение оперативного, квалифицированного и качественного обслуживания и консультирования действующих и потенциальных клиентов магазина.</li> <li>прием платежей от клиентов и исполнение регламентов по учету денежных средств и товарно-материальных ценностей.</li> <li>Распаковывать товар, очищать товар от загрязнения, проверять комплектность, изучать особенности новых товаров.</li> <li>Размещать товары, оформлять витрину (товарную линейку), проверять наличие ценников и правильность их заполнения.</li> <li>Следить за соответствием цен на товарах.</li> <li>Отслеживание товарного вида, аккуратной раскладки и иных моментов по реализуемым товарам.</li> <li>Следить и поддерживать чистоту, порядок на торговой точке.</li> </ul> <strong>Условия: </strong> <ul> <li>Оклад + выполнение плана продаж + премиальные.</li> <li>(в месяц от 27-50 тыс.)</li> <li>График работы: 10:00-22:00, сменный 2/2</li> <li>Ежемесячная ротация по филиалам</li> </ul> <p> </p>",Розничная торговля,Продажи,Сменный график,От 1 года до 3 лет
Официант,Бишкек,Godzilla Group,40000,,KGS,"<p>В наш дружный коллектив требуются сотрудники на позицию ОФИЦИАНТ!</p> <p>Что мы можем тебе предложить?</p> <p>Возможность работать в удобном для тебя</p> <p>месте;</p> <p>3/п два раза в месяц от 5% до 8%;</p> <p>Корпоративное питание и форму;</p> <p>Гибкий график, можно совмещать с учёбой.</p> <p>Если ты пунктуальный, ответственный и хочешь стать частью нашей замечательной команды, мы ждём тебя по адресу: Токомбаева 21 a/4</p> <p>«Асанбай Шахерезада»</p>","Начальный уровень, Мало опыта","Туризм, гостиницы, рестораны",Полный день,Нет опыта
Ночной Водитель,Бишкек,ОсОО Compass Transfer,25000,50000,KGS,"<p>В связи с расширением компании ОсОО &quot;Compass Transfer&quot; ведется набор на вакансию &quot;Водитель на авто работодателя!&quot;</p> <p><strong>Обязанности:</strong></p> <p>- Встреча/проводы клиентов в аэропорт;<br />- Развоз персонала;<br />- Трансферные перевозки пассажиров по территории Кыргызской Республики;<br />- Перевозки пассажиров по городу Бишкек;<br />- Работа в службе Яндекс.Такси на премиальных тарифах.</p> <strong>Требования:</strong> <p>- Стаж вождения от 10 лет;<br />- Пунктуальность;<br />- Аккуратность;<br />- Грамотное и комфортное вождение;<br />- Знание русского и кыргызского языков (желательно английский или турецкий или арабский)<br />- Умение находить общий язык с людьми.<br />- Опыт работы в сфере такси обязателен!</p> <strong>Условия:</strong> <p>- Предоставляется автомобиль комфорт+ класса;<br />- График работы посменный 12 часов (день/ночь)<br />- Оплата топлива, мойки машины<br /><br />Условия оплаты: Оклад + процент + бонусы<br /><br />В ОТКЛИКЕ НА ВАКАНСИЮ, ОБЯЗАТЕЛЬНО УКАЖИТЕ В КАКУЮ СМЕНУ ХОТИТЕ РАБОТАТЬ!</p>",Автоперевозки,"Транспорт, логистика",Полный день,От 1 года до 3 лет
Оператор call-центра,Бишкек,Компания Absolut,25000,40000,KGS,"<strong>Обязанности:</strong> <ul> <li>​Прием входящих звонков</li> </ul> <strong>Требования:</strong> <ul> <li>Знание русского языка</li> </ul> <strong>Условия:</strong> <p>Своевременная оплата, плюс бонусы и премии за качественную работу. Работа в дружном коллективе. Гибкий график работы с возможностью выбора рабочих часов</p>",Ввод данных,Административный персонал,Гибкий график,Нет опыта
Продавец-Кассир с удобным графиком. Можно совмещать с курсами.,Бишкек,Avenue,19500,,KGS,"<p>В Кофейню Авеню - это кофейня с особой атмосферой тепла и уюта.</p> <p>Требования:</p> <p>- высокая концентрация<br />- ответственность, четкость<br />- умение работать быстро и аккуратно<br />- желание развиваться и готовность к обучению<br />- Знание 1С будет преимуществом.</p> <p><br />Обязанности:</p> - Приветливо здороваться и прощаться с гостями,<br />- Учет денежных средств,<br />- Писать кассовый отчет,<br />- Следить за чистотой холодильников и рабочего места,<br />- Принимать и раскладывать выпечку,<br />- Писать заявку на выпечку,<br />- Рассчитывать поставщиков. <p><br />Условия работы:</p> - Зарплата 19500 сом, без задержек<br />- Сменный график 5/2, с 7:00 до 16:00, с 15:30 до 01:00;<br />- Дружный коллектив.<br />- Выдаются деньги на такси.",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Разнорабочий в Германию,Бишкек,Горизонт,160000,200000,RUR,"<p>✅Зарплата: 2000 - 2500 евро в месяц. 10 евро в час.<br />✅График: 8-10 часов в день, возможны переработки. Воскресенье выходной.<br />✅Страна: Германия<br /><br />✅ВНИМАНИЕ! МЫ НЕ ОПЛАЧИВАЕМ ПРОЕЗД И ОФОРМЛЕНИЕ!<br />✅Варианты оформления рабочей визы:<br />1) Рабочая виза D класс12 месяцев (срок оформления от месяца дней);<br />2) Продление рабочего контракта не выезжая из страны, помощь в оформлении вида на жительство;<br /><br />Знание языка НЕ требуется;<br />Наличие заграничного паспорта;<br />Трудоустройство официальное;<br />Контракт;<br />Обязанности:<br />Контроль производственной линии;<br />Упаковка готовой продукции;<br />Стикеровка, подготовка к транспортировке;</p> <p>✅Условия<br />Квартиры в комнате по 2 человека;<br />Форму и обувь выдают;<br />Средняя зарплата в месяц 2300 евро (нетто)<br />Аванс один раз в конце рабочей недели на счёт в банке.<br />ПН-ПТ Cмена с 10.00 до 18.00 (перерыв с 12.00 – 12.30) Работа в современном складе при температуре 16+ градусов.<br />✅Спец. обувь и одежда за счёт работодателя.<br />Проживание за счёт работодателя в комфортных условиях.<br />Проезд в обе стороны (работа/дом) бесплатный<br />☑ Для более подробной консультации обращаться по телефону или в офис нашей компании.<br />☑ Оформим в кратчайшие сроки. Подберем подходящую вакансию. Работаем напрямую с работодателем, без лишних затрат!<br />☎ Офис в Владивосток.<br />☎ Офис в Польше.<br />❗ВОЗМОЖНО ДИСТАНЦИОННОЕ ОФОРМЛЕНИЕ ИЗ ЛЮБОГО РЕГИОНА❗<br />Также смотрите дополнительные предложения по отправке в другие страны в нашем профиле.</p> <p><strong>ОФОРМЛЕНИЕ ПЛАТНОЕ. </strong></p>",Разнорабочий,Рабочий персонал,Полный день,Нет опыта
Экономист аналитик планово-экономического отдела,Бишкек,Red Petroleum,45000,65000,KGS,"<p><strong>Функциональные обязанности:</strong></p> <p>-Формировать фактические данных по доходам Компании по каждому виду деятельности на еженедельной, ежемесячной основе;<br />-Формировать фактические данные по коммерческим и общим административным расходам Компании на еженедельной, ежемесячной основе по всем подразделениям и статьям (коммерческий департамент, финансовый департамент, департамент внутренней логистики, административный департамент, департамент строительства и легализации);<br />-Формировать фактические данные по прочим не операционным расходам Компании на ежемесячной основе до 15 числа;<br />-Осуществлять расчет рентабельности продаж (ROS) по АЗС (по видам топлива), по нефтебазам и другим объектам Компании по заданию руководства компании. Осуществлять сбор и обработку данных по плановым продажам и выручке Компании от Коммерческого департамента для определения доходности и плановой рентабельности.<br />- Осуществлять сбор и прием данных по плановым дополнительным расходам Компании для определения плановой рентабельности.<br />- Осуществлять сбор, консолидацию и анализ бюджетов подразделений.<br />- Анализ план-факта по отделам и статьям, выявление причин отклонений с целью их минимизации.<br />- Ежедневное отслеживание исполнения бюджетов подразделений, регистрация заявок на отток денежных средств, заявок на дополнительные лимиты ГСМ и проверка на соответствие бюджетам, ведение общего свода по расходам в разрезе статей расходов, объектов и подразделений.<br />- Осуществлять расчет точки безубыточности продаж по всей Компании.<br />- Принимать участие в разработке мероприятий по эффективному использованию капитальных вложений, повышению конкурентоспособности производимой продукции и производительности труда, снижению издержек в Компании и реализации продукции, повышению рентабельности, увеличению прибыли, а также во внедрении и совершенствовании внутрихозяйственного расчета в Компании и его подразделениях, совершенствовании плановой и учетной документации, в подготовке методических материалов по организации внутрихозяйственного планирования.<br />-Осуществлять согласование и дополнение KPI по сотрудникам подразделений</p> <p><strong>Требования:</strong></p> <ul> <li>высшее образование (экономика/финансы);</li> <li>знание и понимание финансово-экономического анализа, основ бухгалтерского учета;</li> <li>опыт работы аналитиком в финансовом/экономическом отделе (опыт подготовки финансовых и аналитических отчетов, подготовки финансовых планов);</li> <li>Аналитический склад ума,умение работать с большими базами данных, продвинутый пользователь MS Excel</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>График работы 5/2 с 8:30 до 17.30,</li> <li>Дружелюбную атмосферу внутри компании;</li> <li>Возможности для профессионального роста (внешнее и внутреннее обучение, сертификация);</li> </ul> <p> </p>",Бюджетирование и планирование,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 3 до 6 лет
